Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2020-11-24 15:32:00-05:00,557.8472290039062,558.25,557.6641845703125,558.0,81243,0,0,TSLA
2020-11-24 15:33:00-05:00,558.0598754882812,558.3400268554688,557.7000732421875,557.89697265625,88585,0,0,TSLA
2020-11-24 15:34:00-05:00,557.8200073242188,557.8300170898438,557.030029296875,557.4699096679688,91177,0,0,TSLA
2020-11-24 15:35:00-05:00,557.47998046875,558.0,557.0399780273438,557.5,83604,0,0,TSLA
2020-11-24 15:36:00-05:00,557.5800170898438,557.8300170898438,557.0499877929688,557.1799926757812,49843,0,0,TSLA
2020-11-24 15:37:00-05:00,557.17626953125,557.39501953125,556.77001953125,557.3447265625,67359,0,0,TSLA
2020-11-24 15:38:00-05:00,557.4000244140625,557.4500122070312,556.1500244140625,556.2321166992188,108747,0,0,TSLA
2020-11-24 15:39:00-05:00,556.3599853515625,556.5299072265625,555.0999755859375,555.10009765625,138567,0,0,TSLA
2020-11-24 15:40:00-05:00,555.1749877929688,555.9600219726562,554.8800048828125,555.6624755859375,208073,0,0,TSLA
2020-11-24 15:41:00-05:00,555.6400146484375,555.8300170898438,554.8800048828125,554.9400024414062,126512,0,0,TSLA
2020-11-24 15:42:00-05:00,554.9000244140625,555.530029296875,554.27001953125,554.3380737304688,138227,0,0,TSLA
2020-11-24 15:43:00-05:00,554.3366088867188,555.0,554.0,554.4899291992188,154235,0,0,TSLA
2020-11-24 15:44:00-05:00,554.4600219726562,554.5599975585938,553.7999877929688,553.9696044921875,138964,0,0,TSLA
2020-11-24 15:45:00-05:00,554.0,555.246826171875,553.8900146484375,554.5,148456,0,0,TSLA
2020-11-24 15:46:00-05:00,554.5,555.0,554.02001953125,554.7122192382812,120076,0,0,TSLA
2020-11-24 15:47:00-05:00,554.6699829101562,554.6699829101562,553.9600219726562,554.1672973632812,109591,0,0,TSLA
2020-11-24 15:48:00-05:00,554.2999877929688,554.9902954101562,554.1599731445312,554.8350219726562,77122,0,0,TSLA
2020-11-24 15:49:00-05:00,554.8499755859375,554.919921875,554.1099853515625,554.3049926757812,90551,0,0,TSLA
2020-11-24 15:50:00-05:00,554.2899780273438,555.0,553.25,554.3400268554688,204740,0,0,TSLA
2020-11-24 15:51:00-05:00,554.2528076171875,554.6099853515625,553.9500122070312,554.25,115985,0,0,TSLA
2020-11-24 15:52:00-05:00,554.1419067382812,555.1699829101562,554.0999755859375,554.905029296875,132374,0,0,TSLA
2020-11-24 15:53:00-05:00,554.92822265625,554.9600219726562,554.25,554.5681762695312,109196,0,0,TSLA
2020-11-24 15:54:00-05:00,554.7799072265625,555.0,554.5,554.53662109375,114238,0,0,TSLA
2020-11-24 15:55:00-05:00,554.5,555.0,554.3499755859375,554.8200073242188,203147,0,0,TSLA
2020-11-24 15:56:00-05:00,554.8200073242188,554.9000244140625,554.5900268554688,554.760009765625,124494,0,0,TSLA
2020-11-24 15:57:00-05:00,554.7000122070312,555.5499877929688,554.6649780273438,555.4459838867188,215190,0,0,TSLA
2020-11-24 15:58:00-05:00,555.4099731445312,555.9349975585938,555.4099731445312,555.75,192747,0,0,TSLA
2020-11-24 15:59:00-05:00,555.7050170898438,555.97900390625,555.25,555.8599853515625,306434,0,0,TSLA
2020-11-25 09:30:00-05:00,550.0599975585938,553.0,548.5,548.6099853515625,3762818,0,0,TSLA
2020-11-25 09:31:00-05:00,548.7783813476562,551.5899047851562,548.0,551.0499877929688,295298,0,0,TSLA
2020-11-25 09:32:00-05:00,551.0,555.2999877929688,550.9299926757812,554.739990234375,460597,0,0,TSLA
2020-11-25 09:33:00-05:00,554.73291015625,556.7899780273438,552.780029296875,556.333984375,431958,0,0,TSLA
2020-11-25 09:34:00-05:00,556.1430053710938,558.6500244140625,556.1430053710938,558.6500244140625,425137,0,0,TSLA
2020-11-25 09:35:00-05:00,558.5294799804688,559.3900146484375,556.2100219726562,557.0,375348,0,0,TSLA
2020-11-25 09:36:00-05:00,557.0,557.469970703125,553.7000122070312,554.7100219726562,301283,0,0,TSLA
2020-11-25 09:37:00-05:00,554.72998046875,556.6199951171875,554.5,555.6900024414062,215202,0,0,TSLA
2020-11-25 09:38:00-05:00,555.5900268554688,555.639892578125,551.760009765625,552.5548095703125,245435,0,0,TSLA
2020-11-25 09:39:00-05:00,552.5349731445312,552.6900024414062,550.2000122070312,551.1099853515625,311892,0,0,TSLA
2020-11-25 09:40:00-05:00,551.0850219726562,553.5899047851562,550.6300048828125,552.3200073242188,274767,0,0,TSLA
2020-11-25 09:41:00-05:00,552.0966186523438,552.25,550.5999755859375,551.2427978515625,83638,0,0,TSLA
2020-11-25 09:43:00-05:00,549.6972045898438,549.9636840820312,549.0,549.0,545698,0,0,TSLA
2020-11-25 09:44:00-05:00,550.37890625,550.469970703125,548.6801147460938,549.239990234375,269390,0,0,TSLA
2020-11-25 09:45:00-05:00,549.1649780273438,550.0,547.0999755859375,547.4099731445312,220075,0,0,TSLA
2020-11-25 09:46:00-05:00,547.27001953125,547.6898803710938,545.3699951171875,547.3499755859375,331179,0,0,TSLA
2020-11-25 09:47:00-05:00,547.2366943359375,548.6900024414062,547.0,547.8499755859375,207107,0,0,TSLA
2020-11-25 09:48:00-05:00,547.7550048828125,549.3300170898438,547.6417236328125,549.1400146484375,193281,0,0,TSLA
