"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 10","80.44","79.61","81.43","78.83","511.18K","0.99%"
"Jan 10","79.65","78.36","79.68","76.74","369.13K","1.83%"
"Dec 09","78.22","74.84","78.77","74.31","392.18K","4.38%"
"Nov 09","74.94","76.47","77.50","74.21","345.60K","-2.00%"
"Oct 09","76.47","76.87","77.72","75.08","264.57K","-0.51%"
"Sep 09","76.86","78.17","79.01","76.05","184.61K","-1.74%"
"Aug 09","78.22","78.16","79.69","77.52","140.29K","-0.29%"
"Jul 09","78.45","80.39","81.17","78.31","122.71K","-2.45%"
"Jun 09","80.42","79.31","81.80","78.38","169.49K","1.25%"
"May 09","79.43","84.90","85.03","79.25","125.98K","-6.31%"
"Apr 09","84.78","86.01","87.22","84.03","104.13K","-1.29%"
"Mar 09","85.89","88.40","89.71","83.14","143.40K","-2.56%"
"Feb 09","88.15","86.69","88.67","84.67","103.45K","1.95%"
"Jan 09","86.46","82.19","87.41","81.99","80.85K","5.25%"
"Dec 08","82.15","86.58","87.85","79.50","99.22K","-5.25%"
"Nov 08","86.70","86.34","89.25","84.45","79.79K","0.42%"
"Oct 08","86.34","79.18","88.50","79.05","142.52K","8.80%"
"Sep 08","79.36","77.33","80.39","76.03","195.82K","2.40%"
"Aug 08","77.50","73.42","77.71","73.36","141.47K","5.56%"
"Jul 08","73.42","72.75","73.73","71.56","115.95K","0.85%"
"Jun 08","72.80","72.95","74.32","72.17","129.35K","-0.21%"
"May 08","72.95","72.75","74.06","71.92","130.90K","0.32%"
"Apr 08","72.72","72.23","74.50","71.05","124.05K","0.76%"
"Mar 08","72.17","73.65","74.00","70.81","139.77K","-2.14%"
"Feb 08","73.75","75.35","77.19","73.63","74.48K","-2.03%"
"Jan 08","75.28","76.74","77.50","74.66","69.47K","-1.85%"
"Dec 07","76.70","76.10","77.86","75.61","51.55K","0.70%"
"Nov 07","76.17","76.57","76.82","74.76","56.40K","-0.38%"
"Oct 07","76.46","77.67","78.80","76.43","55.74K","-1.49%"
"Sep 07","77.62","80.75","81.10","77.58","86.47K","-3.88%"
"Aug 07","80.75","80.77","82.00","79.86","82.49K","0.11%"
"Jul 07","80.66","81.66","81.68","79.87","85.25K","-1.26%"
"Jun 07","81.69","82.23","83.26","81.66","81.00K","-0.68%"
"May 07","82.25","81.25","82.50","81.10","46.04K","1.17%"
"Apr 07","81.30","82.64","82.97","81.10","44.40K","-1.65%"
"Mar 07","82.66","83.53","84.36","82.38","64.61K","-1.01%"
"Feb 07","83.50","84.48","85.09","83.32","67.22K","-1.10%"
"Jan 07","84.43","83.19","85.25","82.90","56.48K","1.20%"
